Year,Category,Film,FilmId,Winner,Nominees,Song
1936,Best Supporting Actress,My Man Godfrey,tt0028010,,Alice Brady,Angelica Bullock
1936,Best Supporting Actress,These Three,tt0028356,,Bonita Granville,Mary Tilford
1936,Best Supporting Actress,Dodsworth,tt0027532,,Maria Ouspenskaya,Baroness von Obersdorf
1936,Best Supporting Actress,Anthony Adverse,tt0027300,TRUE,Gale Sondergaard,Faith Paleologue
1937,Best Adapted Screenplay,The Awful Truth,tt0028597,,Vina Delmar,
1937,Best Adapted Screenplay,Captains Courageous,tt0028691,,"John Lee Mahin, Marc Connelly, Dale Van Every",
1937,Best Adapted Screenplay,The Life of Emile Zola,tt0029146,TRUE,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",
1937,Best Adapted Screenplay,Stage Door,tt0029604,,"Morris Ryskind, Anthony Veiller",
1937,Best Adapted Screenplay,A Star Is Born,tt0029606,,"Dorothy Parker, Alan Campbell, Robert Carson",
1937,Best Cinematography,Dead End,tt0028773,,Gregg Toland,
1937,Best Cinematography,The Good Earth,tt0028944,TRUE,Karl Freund,
1937,Best Cinematography,Wings over Honolulu,tt0029784,,Joseph Valentine,
1937,Best Director,The Awful Truth,tt0028597,TRUE,Leo McCarey,
1937,Best Director,The Good Earth,tt0028944,,Sidney Franklin,
1937,Best Director,The Life of Emile Zola,tt0029146,,William Dieterle,
1937,Best Director,Stage Door,tt0029604,,Gregory La Cava,
1937,Best Director,A Star Is Born,tt0029606,,William Wellman,
1937,Best Film Editing,The Awful Truth,tt0028597,,Al Clark,
1937,Best Film Editing,Captains Courageous,tt0028691,,Elmo Veron,
1937,Best Film Editing,The Good Earth,tt0028944,,Basil Wrangell,
1937,Best Film Editing,Lost Horizon,tt0029162,TRUE,"Gene Havlick, Gene Milford",
1937,Best Film Editing,One Hundred Men and a Girl,tt0029347,,Bernard W. Burton,
1937,Best Leading Actor,Conquest,tt0028739,,Charles Boyer,Napoleon Bonaparte
1937,Best Leading Actor,A Star Is Born,tt0029606,,Fredric March,Norman Maine (Alfred Hinkel)
1937,Best Leading Actor,Night Must Fall,tt0029310,,Robert Montgomery,Danny
1937,Best Leading Actor,The Life of Emile Zola,tt0029146,,Paul Muni,Emile Zola
1937,Best Leading Actor,Captains Courageous,tt0028691,TRUE,Spencer Tracy,Manuel
1937,Best Leading Actress,The Awful Truth,tt0028597,,Irene Dunne,Lucy Warriner
1937,Best Leading Actress,Camille,tt0028683,,Greta Garbo,Marguerite Gautier (Camille)
1937,Best Leading Actress,A Star Is Born,tt0029606,,Janet Gaynor,Esther Blodgett/Vicki Lester
